"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"18-SEP-2025","AIIL","Authum Invest & Infra Ltd","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","4,63,091","3,275.60",
"18-SEP-2025","AIIL","Authum Invest & Infra Ltd","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","4,63,091","3,275.60",
"18-SEP-2025","AXISBANK","Axis Bank Limited","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","4,17,821","1,126.00",
"18-SEP-2025","AXISBANK","Axis Bank Limited","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","4,17,821","1,126.00",
"18-SEP-2025","ENRIN","Siemens Energy India Ltd","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","64,726","3,490.00",
"18-SEP-2025","ENRIN","Siemens Energy India Ltd","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","64,726","3,490.00",
"18-SEP-2025","FORTIS","Fortis Healthcare Limited","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","3,36,879","963.50",
"18-SEP-2025","FORTIS","Fortis Healthcare Limited","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","3,36,879","963.50",
"18-SEP-2025","ITC","ITC Ltd.","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","6,45,111","409.30",
"18-SEP-2025","ITC","ITC Ltd.","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","6,45,111","409.30",
"18-SEP-2025","PETRONET","Petronet LNG Limited","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","9,01,656","279.00",
"18-SEP-2025","PETRONET","Petronet LNG Limited","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","9,01,656","279.00",
"18-SEP-2025","SAILIFE","Sai Life Sciences Limited","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","6,02,186","898.50",
"18-SEP-2025","SAILIFE","Sai Life Sciences Limited","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","6,02,186","898.50",
"18-SEP-2025","SUNDARMFIN","Sundaram Finance Ltd.","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","36,669","4,593.00",
"18-SEP-2025","SUNDARMFIN","Sundaram Finance Ltd.","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","36,669","4,593.00",
"18-SEP-2025","WIPRO","Wipro Ltd","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","14,00,000","254.15",
"18-SEP-2025","WIPRO","Wipro Ltd","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","14,00,000","254.15",
"19-SEP-2025","BPCL","Bharat Petroleum Ltd","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","6,62,659","325.70",
"19-SEP-2025","BPCL","Bharat Petroleum Ltd","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","6,62,659","325.70",
"19-SEP-2025","GVT&D","GE VERNOVA T&D INDIA LTD","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","1,14,340","2,985.90",
"19-SEP-2025","GVT&D","GE VERNOVA T&D INDIA LTD","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","1,14,340","2,985.90",
"19-SEP-2025","HAL","Hindustan Aeronautics Ltd","GOLDMAN SACHS (SINGAPORE) PTE - ODI","SELL","2,97,251","4,856.80",
"19-SEP-2025","HAL","Hindustan Aeronautics Ltd","GOLDMAN SACHS BANK EUROPE SE - ODI","BUY","2,97,251","4,856.80",
"19-SEP-2025","LT","Larsen & Toubro Limited","PI OPPORTUNITIES AIF V LLP","BUY","2,71,223","3,681.00",
"19-SEP-2025","LT","Larsen & Toubro Limited","PIONEER INVESTMENT FUND","SELL","2,71,223","3,681.00",
